Winner,First Pick,Second Pick,Ban 1,Ban 2,Ban 3,Ban 4,Ban 5,Ban 6,Ban 7,Ban 8,Pick 1,Pick 2,Pick 3,Pick 4,Ban 9,Ban 10,Pick 5,Pick 6,Pick 7,Pick 8,Ban 11,Ban 12,Pick 9,Pick 10
PSG.LGD,PSG.LGD,EHOME,treant-protector,timbersaw,pangolier,dragon-knight,oracle,vengeful-spirit,tusk,chen,ember-spirit,earthshaker,clinkz,clockwerk,lycan,bristleback,grimstroke,rubick,ursa,troll-warlord,beastmaster,necrophos,dazzle,batrider
PSG.LGD,PSG.LGD,EHOME,treant-protector,timbersaw,pangolier,ember-spirit,grimstroke,shadow-demon,winter-wyvern,monkey-king,vengeful-spirit,dragon-knight,ancient-apparition,beastmaster,earthshaker,medusa,dark-willow,clinkz,sand-king,phoenix,lifestealer,phantom-lancer,shadow-fiend,mars
Vici Gaming,Vici Gaming,INVICTUS GAMING,shadow-demon,tusk,dragon-knight,naga-siren,ember-spirit,mars,keeper-of-the-light,pangolier,centaur-warrunner,rubick,lich,phoenix,ursa,phantom-lancer,beastmaster,kunkka,juggernaut,terrorblade,chen,storm-spirit,vengeful-spirit,outworld-devourer
Vici Gaming,INVICTUS GAMING,Vici Gaming,tusk,shadow-demon,pangolier,centaur-warrunner,dazzle,keeper-of-the-light,phoenix,mars,dragon-knight,oracle,ember-spirit,silencer,terrorblade,phantom-lancer,vengeful-spirit,nyx-assassin,medusa,morphling,winter-wyvern,beastmaster,brewmaster,kunkka
PSG.LGD,CDEC,PSG.LGD,natures-prophet,treant-protector,ember-spirit,tusk,mars,venomancer,bristleback,beastmaster,chen,ancient-apparition,dragon-knight,clockwerk,timbersaw,razor,mirana,batrider,lifestealer,terrorblade,viper,underlord,lina,tidehunter
CDEC,CDEC,PSG.LGD,natures-prophet,treant-protector,dragon-knight,tusk,ember-spirit,beastmaster,death-prophet,shadow-demon,vengeful-spirit,keeper-of-the-light,bristleback,silencer,lycan,viper,void-spirit,mars,shadow-shaman,phantom-lancer,venomancer,leshrac,necrophos,sven
PSG.LGD,PSG.LGD,CDEC,venomancer,natures-prophet,treant-protector,timbersaw,tusk,dragon-knight,viper,ember-spirit,vengeful-spirit,beastmaster,chen,earthshaker,void-spirit,templar-assassin,rubick,phantom-lancer,alchemist,dazzle,shadow-fiend,puck,queen-of-pain,kunkka
CDEC,CDEC,Sparking Arrow Gaming,ember-spirit,grimstroke,centaur-warrunner,void-spirit,phantom-lancer,troll-warlord,chen,treant-protector,shadow-demon,clockwerk,ancient-apparition,beastmaster,naga-siren,lycan,pangolier,vengeful-spirit,storm-spirit,templar-assassin,terrorblade,morphling,weaver,huskar
CDEC,Sparking Arrow Gaming,CDEC,grimstroke,timbersaw,void-spirit,phantom-lancer,troll-warlord,centaur-warrunner,ember-spirit,shadow-demon,treant-protector,tusk,vengeful-spirit,puck,terrorblade,naga-siren,luna,tiny,beastmaster,weaver,kunkka,death-prophet,bristleback,viper
INVICTUS GAMING,INVICTUS GAMING,CDEC,timbersaw,death-prophet,pangolier,shadow-demon,centaur-warrunner,mars,batrider,disruptor,keeper-of-the-light,lich,ember-spirit,bristleback,faceless-void,templar-assassin,grimstroke,nyx-assassin,doom,ursa,morphling,slark,invoker,troll-warlord
CDEC,INVICTUS GAMING,CDEC,pangolier,death-prophet,centaur-warrunner,shadow-demon,batrider,mars,timbersaw,keeper-of-the-light,dazzle,chen,void-spirit,lich,clockwerk,templar-assassin,tusk,earthshaker,phantom-lancer,ember-spirit,alchemist,venomancer,dragon-knight,necrophos
CDEC,INVICTUS GAMING,CDEC,pangolier,shadow-demon,centaur-warrunner,mars,chen,death-prophet,batrider,keeper-of-the-light,lich,clockwerk,grimstroke,mirana,phantom-lancer,lycan,ember-spirit,kunkka,venomancer,troll-warlord,legion-commander,razor,abaddon,slark
Vici Gaming,EHOME,Vici Gaming,dragon-knight,shadow-demon,centaur-warrunner,treant-protector,mars,keeper-of-the-light,phantom-lancer,beastmaster,grimstroke,tusk,oracle,ember-spirit,terrorblade,visage,vengeful-spirit,clinkz,medusa,pangolier,troll-warlord,monkey-king,anti-mage,kunkka
EHOME,Vici Gaming,EHOME,treant-protector,dragon-knight,keeper-of-the-light,centaur-warrunner,beastmaster,mars,ember-spirit,tusk,shadow-demon,pangolier,jakiro,mirana,riki,phantom-lancer,visage,void-spirit,kunkka,terrorblade,monkey-king,slark,timbersaw,ursa
EHOME,Vici Gaming,EHOME,treant-protector,tusk,keeper-of-the-light,dragon-knight,beastmaster,centaur-warrunner,visage,monkey-king,grimstroke,shadow-demon,mars,pangolier,ember-spirit,phantom-lancer,clinkz,riki,lycan,kunkka,timbersaw,huskar,underlord,slardar
Royal Never Give Up,Newbee,Royal Never Give Up,dragon-knight,mars,shadow-demon,death-prophet,treant-protector,timbersaw,grimstroke,ember-spirit,pangolier,tusk,bane,keeper-of-the-light,void-spirit,naga-siren,enigma,rubick,morphling,outworld-devourer,monkey-king,queen-of-pain,bristleback,lina
Newbee,Newbee,Royal Never Give Up,dragon-knight,mars,treant-protector,keeper-of-the-light,pangolier,timbersaw,death-prophet,centaur-warrunner,grimstroke,tusk,chen,void-spirit,templar-assassin,naga-siren,enigma,monkey-king,morphling,venomancer,earthshaker,puck,bounty-hunter,lycan
Royal Never Give Up,Royal Never Give Up,Newbee,mars,void-spirit,keeper-of-the-light,death-prophet,grimstroke,timbersaw,pangolier,dragon-knight,treant-protector,centaur-warrunner,lich,oracle,rubick,troll-warlord,tusk,monkey-king,dazzle,tidehunter,kunkka,alchemist,storm-spirit,anti-mage
PSG.LGD,KEEN GAMING,PSG.LGD,shadow-demon,ancient-apparition,keeper-of-the-light,pangolier,timbersaw,dragon-knight,chen,death-prophet,grimstroke,oracle,ember-spirit,void-spirit,enigma,shadow-shaman,nyx-assassin,rubick,troll-warlord,razor,terrorblade,venomancer,brewmaster,batrider
PSG.LGD,PSG.LGD,KEEN GAMING,shadow-demon,death-prophet,keeper-of-the-light,ancient-apparition,pangolier,nyx-assassin,ember-spirit,void-spirit,chen,earthshaker,grimstroke,rubick,morphling,lycan,weaver,riki,doom,centaur-warrunner,shadow-fiend,templar-assassin,gyrocopter,broodmother
EHOME,EHOME,CDEC,chen,timbersaw,keeper-of-the-light,treant-protector,monkey-king,grimstroke,shadow-demon,pangolier,lich,death-prophet,oracle,clinkz,phantom-lancer,lycan,clockwerk,void-spirit,ember-spirit,ursa,beastmaster,terrorblade,earthshaker,venomancer
CDEC,CDEC,EHOME,clinkz,monkey-king,ember-spirit,venomancer,dragon-knight,terrorblade,treant-protector,timbersaw,grimstroke,shadow-demon,death-prophet,pangolier,riki,lycan,earthshaker,shadow-shaman,lone-druid,phantom-lancer,batrider,queen-of-pain,razor,alchemist
CDEC,CDEC,EHOME,clinkz,monkey-king,dragon-knight,timbersaw,ember-spirit,ursa,treant-protector,venomancer,grimstroke,rubick,centaur-warrunner,clockwerk,naga-siren,phantom-lancer,lich,mars,riki,lycan,death-prophet,kunkka,queen-of-pain,puck
Sparking Arrow Gaming,Sparking Arrow Gaming,INVICTUS GAMING,disruptor,venomancer,dragon-knight,pangolier,centaur-warrunner,ancient-apparition,ember-spirit,death-prophet,shadow-demon,silencer,mars,nyx-assassin,lycan,naga-siren,shadow-shaman,phantom-lancer,gyrocopter,razor,clockwerk,queen-of-pain,batrider,zeus
INVICTUS GAMING,Sparking Arrow Gaming,INVICTUS GAMING,disruptor,venomancer,ember-spirit,nyx-assassin,dragon-knight,death-prophet,centaur-warrunner,shadow-demon,treant-protector,jakiro,rubick,lich,lycan,phantom-lancer,beastmaster,terrorblade,faceless-void,puck,kunkka,zeus,queen-of-pain,invoker
INVICTUS GAMING,INVICTUS GAMING,Sparking Arrow Gaming,treant-protector,shadow-demon,venomancer,ember-spirit,lich,rubick,keeper-of-the-light,disruptor,nyx-assassin,dragon-knight,ancient-apparition,oracle,naga-siren,lycan,terrorblade,slark,natures-prophet,batrider,invoker,broodmother,arc-warden,pangolier
EHOME,EHOME,Sparking Arrow Gaming,venomancer,treant-protector,clockwerk,shadow-demon,pangolier,rubick,timbersaw,beastmaster,grimstroke,terrorblade,abaddon,earthshaker,razor,troll-warlord,puck,ember-spirit,nyx-assassin,visage,lycan,batrider,dragon-knight,huskar
Sparking Arrow Gaming,Sparking Arrow Gaming,EHOME,dragon-knight,venomancer,visage,lina,ember-spirit,razor,grimstroke,timbersaw,shadow-demon,pangolier,oracle,puck,troll-warlord,anti-mage,terrorblade,ancient-apparition,snapfire,phantom-lancer,bristleback,void-spirit,queen-of-pain,kunkka
EHOME,Sparking Arrow Gaming,EHOME,dragon-knight,venomancer,visage,razor,beastmaster,shadow-demon,grimstroke,timbersaw,ember-spirit,treant-protector,earthshaker,ancient-apparition,clinkz,anti-mage,void-spirit,pangolier,riki,kunkka,naga-siren,tidehunter,dazzle,batrider
Royal Never Give Up,CDEC,Royal Never Give Up,dragon-knight,death-prophet,clockwerk,keeper-of-the-light,treant-protector,timbersaw,shadow-demon,centaur-warrunner,earthshaker,pangolier,grimstroke,bane,beastmaster,ember-spirit,chen,underlord,monkey-king,morphling,void-spirit,outworld-devourer,venomancer,lina
CDEC,Royal Never Give Up,CDEC,keeper-of-the-light,timbersaw,grimstroke,pangolier,death-prophet,shadow-demon,ember-spirit,chen,beastmaster,enchantress,void-spirit,mirana,phantom-lancer,templar-assassin,rubick,lich,mars,kunkka,riki,naga-siren,monkey-king,terrorblade
Royal Never Give Up,Royal Never Give Up,CDEC,void-spirit,timbersaw,ember-spirit,shadow-demon,grimstroke,pangolier,terrorblade,chen,death-prophet,treant-protector,vengeful-spirit,phoenix,medusa,beastmaster,dazzle,abaddon,lycan,tidehunter,naga-siren,razor,faceless-void,huskar
Royal Never Give Up,Royal Never Give Up,Team Aster,io,death-prophet,keeper-of-the-light,lich,centaur-warrunner,pangolier,dragon-knight,lycan,grimstroke,ember-spirit,silencer,beastmaster,naga-siren,riki,clockwerk,tusk,phantom-lancer,anti-mage,void-spirit,templar-assassin,kunkka,timbersaw
Royal Never Give Up,Team Aster,Royal Never Give Up,dragon-knight,io,lich,death-prophet,grimstroke,pangolier,legion-commander,keeper-of-the-light,nyx-assassin,rubick,beastmaster,winter-wyvern,phantom-lancer,naga-siren,shadow-demon,puck,gyrocopter,terrorblade,kunkka,zeus,void-spirit,templar-assassin
Vici Gaming,KEEN GAMING,Vici Gaming,ancient-apparition,death-prophet,shadow-demon,mars,pangolier,nyx-assassin,grimstroke,bristleback,keeper-of-the-light,ember-spirit,oracle,dragon-knight,terrorblade,timbersaw,tusk,phoenix,beastmaster,phantom-lancer,void-spirit,alchemist,queen-of-pain,leshrac
Vici Gaming,KEEN GAMING,Vici Gaming,ember-spirit,mars,ancient-apparition,death-prophet,pangolier,keeper-of-the-light,grimstroke,void-spirit,shadow-demon,elder-titan,disruptor,clockwerk,phantom-lancer,venomancer,riki,storm-spirit,dragon-knight,lycan,timbersaw,tidehunter,enigma,naga-siren
Sparking Arrow Gaming,Sparking Arrow Gaming,Team Aster,dragon-knight,phantom-lancer,keeper-of-the-light,naga-siren,ember-spirit,terrorblade,shadow-demon,death-prophet,ancient-apparition,pangolier,oracle,puck,lycan,timbersaw,mars,nyx-assassin,wraith-king,anti-mage,bristleback,templar-assassin,storm-spirit,shadow-fiend
Sparking Arrow Gaming,Sparking Arrow Gaming,Team Aster,dragon-knight,phantom-lancer,shadow-demon,ancient-apparition,keeper-of-the-light,death-prophet,io,nyx-assassin,ember-spirit,mars,shadow-shaman,lich,morphling,riki,grimstroke,clockwerk,void-spirit,venomancer,naga-siren,lycan,templar-assassin,terrorblade
KEEN GAMING,KEEN GAMING,Sparking Arrow Gaming,ancient-apparition,shadow-demon,pangolier,brewmaster,chen,lycan,keeper-of-the-light,timbersaw,death-prophet,dragon-knight,lich,disruptor,phantom-lancer,enigma,lina,clockwerk,tusk,terrorblade,mars,naga-siren,venomancer,ember-spirit
Sparking Arrow Gaming,Sparking Arrow Gaming,KEEN GAMING,shadow-demon,death-prophet,dragon-knight,ancient-apparition,disruptor,pangolier,clockwerk,keeper-of-the-light,lich,earthshaker,mars,rubick,lycan,ember-spirit,bane,phantom-lancer,leshrac,venomancer,templar-assassin,weaver,kunkka,wraith-king
KEEN GAMING,Sparking Arrow Gaming,KEEN GAMING,clockwerk,death-prophet,disruptor,ancient-apparition,shadow-demon,keeper-of-the-light,dragon-knight,pangolier,lich,earthshaker,grimstroke,phantom-lancer,ember-spirit,venomancer,phoenix,rubick,void-spirit,kunkka,timbersaw,juggernaut,mars,alchemist
CDEC,CDEC,Vici Gaming,ancient-apparition,death-prophet,dragon-knight,ember-spirit,mars,keeper-of-the-light,ogre-magi,void-spirit,pangolier,grimstroke,nyx-assassin,bane,troll-warlord,dazzle,timbersaw,monkey-king,gyrocopter,rubick,venomancer,queen-of-pain,razor,lina
Vici Gaming,CDEC,Vici Gaming,ancient-apparition,death-prophet,mars,ember-spirit,timbersaw,keeper-of-the-light,dragon-knight,void-spirit,pangolier,grimstroke,rubick,oracle,centaur-warrunner,dazzle,doom,tusk,riki,terrorblade,pugna,templar-assassin,puck,morphling
CDEC,CDEC,Vici Gaming,dragon-knight,death-prophet,mars,ember-spirit,timbersaw,keeper-of-the-light,ogre-magi,void-spirit,grimstroke,oracle,rubick,tusk,centaur-warrunner,pangolier,legion-commander,clockwerk,phantom-lancer,monkey-king,templar-assassin,puck,underlord,huskar
Royal Never Give Up,Royal Never Give Up,KEEN GAMING,timbersaw,death-prophet,keeper-of-the-light,shadow-demon,dragon-knight,mars,ancient-apparition,pangolier,phoenix,void-spirit,snapfire,beastmaster,weaver,terrorblade,tusk,lich,natures-prophet,naga-siren,kunkka,alchemist,queen-of-pain,phantom-assassin
Royal Never Give Up,KEEN GAMING,Royal Never Give Up,ancient-apparition,death-prophet,phoenix,mars,timbersaw,pangolier,keeper-of-the-light,sniper,shadow-demon,dragon-knight,lich,void-spirit,queen-of-pain,terrorblade,mirana,tusk,centaur-warrunner,natures-prophet,wraith-king,slark,underlord,ursa
Royal Never Give Up,Royal Never Give Up,EHOME,oracle,phoenix,natures-prophet,timbersaw,pangolier,shadow-demon,death-prophet,dragon-knight,treant-protector,grimstroke,tusk,mars,riki,outworld-devourer,omniknight,lich,slark,phantom-lancer,lina,huskar,queen-of-pain,puck
Royal Never Give Up,EHOME,Royal Never Give Up,shadow-demon,death-prophet,phoenix,oracle,timbersaw,mars,dragon-knight,centaur-warrunner,treant-protector,void-spirit,lich,sniper,batrider,brewmaster,pangolier,ember-spirit,morphling,riki,natures-prophet,earthshaker,clockwerk,bounty-hunter
KEEN GAMING,KEEN GAMING,Team Aster,timbersaw,death-prophet,ancient-apparition,keeper-of-the-light,naga-siren,mars,pangolier,centaur-warrunner,shadow-demon,dragon-knight,silencer,void-spirit,morphling,lycan,shadow-shaman,clockwerk,natures-prophet,terrorblade,underlord,phantom-lancer,enigma,monkey-king
Team Aster,KEEN GAMING,Team Aster,ancient-apparition,keeper-of-the-light,timbersaw,death-prophet,pangolier,void-spirit,naga-siren,morphling,shadow-demon,mars,rubick,dragon-knight,monkey-king,razor,io,winter-wyvern,gyrocopter,wraith-king,underlord,kunkka,brewmaster,ember-spirit
Team Aster,KEEN GAMING,Team Aster,io,keeper-of-the-light,pangolier,shadow-demon,timbersaw,death-prophet,oracle,ancient-apparition,mars,tusk,natures-prophet,bane,phantom-lancer,terrorblade,dragon-knight,phoenix,brewmaster,luna,ember-spirit,troll-warlord,shadow-fiend,templar-assassin
INVICTUS GAMING,INVICTUS GAMING,KEEN GAMING,timbersaw,dazzle,pangolier,death-prophet,keeper-of-the-light,centaur-warrunner,shadow-demon,ancient-apparition,mars,rubick,oracle,ogre-magi,tidehunter,lycan,void-spirit,mirana,brewmaster,dragon-knight,phantom-lancer,huskar,morphling,luna
INVICTUS GAMING,KEEN GAMING,INVICTUS GAMING,dazzle,mars,mirana,death-prophet,timbersaw,centaur-warrunner,shadow-demon,keeper-of-the-light,ancient-apparition,oracle,dragon-knight,void-spirit,lycan,naga-siren,skywrath-mage,clockwerk,legion-commander,wraith-king,outworld-devourer,monkey-king,omniknight,anti-mage
Newbee,CDEC,Newbee,dazzle,void-spirit,natures-prophet,ember-spirit,batrider,death-prophet,mars,timbersaw,keeper-of-the-light,pangolier,lich,earthshaker,juggernaut,leshrac,disruptor,gyrocopter,razor,morphling,clockwerk,outworld-devourer,puck,templar-assassin
CDEC,Newbee,CDEC,ember-spirit,dazzle,void-spirit,pangolier,death-prophet,mars,timbersaw,lycan,lich,centaur-warrunner,rubick,ursa,venomancer,templar-assassin,bane,earthshaker,troll-warlord,clockwerk,outworld-devourer,puck,leshrac,queen-of-pain
CDEC,Newbee,CDEC,rubick,dazzle,ember-spirit,mars,void-spirit,pangolier,death-prophet,timbersaw,lich,centaur-warrunner,oracle,lycan,troll-warlord,templar-assassin,earthshaker,clockwerk,queen-of-pain,dragon-knight,underlord,naga-siren,enigma,monkey-king
EHOME,Newbee,EHOME,beastmaster,phoenix,death-prophet,shadow-demon,treant-protector,timbersaw,grimstroke,oracle,pangolier,ember-spirit,lich,rubick,tusk,lycan,riki,dragon-knight,mars,necrophos,disruptor,batrider,vengeful-spirit,sniper
EHOME,EHOME,Newbee,shadow-demon,natures-prophet,timbersaw,mars,phoenix,beastmaster,dazzle,death-prophet,grimstroke,oracle,tusk,ember-spirit,morphling,riki,axe,ursa,troll-warlord,centaur-warrunner,pugna,storm-spirit,winter-wyvern,shadow-fiend
PSG.LGD,Newbee,PSG.LGD,keeper-of-the-light,dazzle,rubick,mars,centaur-warrunner,pangolier,death-prophet,timbersaw,phoenix,snapfire,nyx-assassin,lycan,tidehunter,legion-commander,bristleback,brewmaster,gyrocopter,sniper,templar-assassin,storm-spirit,dragon-knight,kunkka
PSG.LGD,PSG.LGD,Newbee,dazzle,keeper-of-the-light,lycan,rubick,death-prophet,timbersaw,shadow-demon,phoenix,pangolier,grimstroke,ember-spirit,oracle,mars,phantom-lancer,beastmaster,tusk,weaver,dragon-knight,void-spirit,outworld-devourer,riki,morphling
INVICTUS GAMING,INVICTUS GAMING,Newbee,pangolier,death-prophet,natures-prophet,dragon-knight,timbersaw,dazzle,shadow-demon,naga-siren,mars,phoenix,legion-commander,lina,ember-spirit,lich,tusk,ogre-magi,leshrac,storm-spirit,monkey-king,troll-warlord,ursa,lycan
INVICTUS GAMING,Newbee,INVICTUS GAMING,timbersaw,pangolier,void-spirit,death-prophet,naga-siren,dazzle,keeper-of-the-light,natures-prophet,mars,shadow-demon,dragon-knight,phoenix,storm-spirit,lycan,mirana,axe,monkey-king,techies,slark,batrider,gyrocopter,sniper
PSG.LGD,PSG.LGD,Vici Gaming,dazzle,death-prophet,dragon-knight,mars,underlord,pangolier,timbersaw,centaur-warrunner,keeper-of-the-light,ember-spirit,lich,bristleback,faceless-void,lycan,nyx-assassin,rubick,legion-commander,ursa,templar-assassin,naga-siren,storm-spirit,troll-warlord
PSG.LGD,Vici Gaming,PSG.LGD,shadow-demon,death-prophet,keeper-of-the-light,dazzle,rubick,centaur-warrunner,huskar,timbersaw,dragon-knight,mars,phoenix,pangolier,faceless-void,riki,disruptor,witch-doctor,ember-spirit,morphling,puck,outworld-devourer,abaddon,monkey-king
EHOME,EHOME,Team Aster,phantom-lancer,treant-protector,ember-spirit,natures-prophet,anti-mage,keeper-of-the-light,timbersaw,pangolier,death-prophet,shadow-demon,mars,oracle,invoker,huskar,phoenix,earthshaker,pugna,morphling,beastmaster,faceless-void,snapfire,spectre
Team Aster,Team Aster,EHOME,treant-protector,anti-mage,natures-prophet,ember-spirit,earthshaker,pangolier,death-prophet,timbersaw,mars,pugna,lich,oracle,riki,naga-siren,lycan,disruptor,beastmaster,kunkka,phantom-lancer,slark,tidehunter,huskar
Team Aster,EHOME,Team Aster,ember-spirit,treant-protector,anti-mage,natures-prophet,timbersaw,pugna,shadow-demon,death-prophet,oracle,mars,silencer,riki,kunkka,beastmaster,dragon-knight,tusk,shadow-shaman,huskar,centaur-warrunner,invoker,pangolier,monkey-king
PSG.LGD,INVICTUS GAMING,PSG.LGD,ancient-apparition,death-prophet,timbersaw,dragon-knight,shadow-demon,dazzle,keeper-of-the-light,naga-siren,mars,pangolier,phoenix,lina,riki,morphling,faceless-void,oracle,rubick,outworld-devourer,wraith-king,puck,ursa,huskar
CDEC,CDEC,Team Aster,centaur-warrunner,death-prophet,rubick,mars,batrider,timbersaw,io,void-spirit,keeper-of-the-light,dragon-knight,phoenix,ember-spirit,legion-commander,riki,shadow-shaman,tusk,abaddon,slark,clockwerk,outworld-devourer,omniknight,alchemist
CDEC,CDEC,Team Aster,rubick,death-prophet,centaur-warrunner,mars,io,timbersaw,ancient-apparition,void-spirit,keeper-of-the-light,dragon-knight,pangolier,ember-spirit,juggernaut,slark,legion-commander,tusk,snapfire,monkey-king,omniknight,morphling,brewmaster,faceless-void
Vici Gaming,Team Aster,Vici Gaming,mirana,mars,timbersaw,io,centaur-warrunner,dazzle,morphling,pangolier,phoenix,dragon-knight,shadow-demon,ember-spirit,death-prophet,keeper-of-the-light,rubick,lich,void-spirit,phantom-lancer,underlord,leshrac,brewmaster,huskar
Vici Gaming,Vici Gaming,Team Aster,dragon-knight,mars,io,timbersaw,centaur-warrunner,mirana,ember-spirit,death-prophet,pangolier,dazzle,puck,phoenix,morphling,phantom-lancer,earth-spirit,oracle,shadow-fiend,riki,templar-assassin,naga-siren,storm-spirit,bounty-hunter
PSG.LGD,Sparking Arrow Gaming,PSG.LGD,natures-prophet,pangolier,ember-spirit,death-prophet,void-spirit,ancient-apparition,keeper-of-the-light,naga-siren,timbersaw,mars,rubick,phoenix,grimstroke,phantom-lancer,snapfire,ogre-magi,ursa,faceless-void,storm-spirit,templar-assassin,lina,leshrac
Sparking Arrow Gaming,PSG.LGD,Sparking Arrow Gaming,dazzle,keeper-of-the-light,timbersaw,phoenix,morphling,void-spirit,death-prophet,ember-spirit,pangolier,dragon-knight,ancient-apparition,shadow-demon,phantom-lancer,ursa,nyx-assassin,grimstroke,naga-siren,alchemist,lycan,storm-spirit,kunkka,huskar
PSG.LGD,Sparking Arrow Gaming,PSG.LGD,ember-spirit,pangolier,void-spirit,naga-siren,mars,ancient-apparition,shadow-demon,death-prophet,timbersaw,phoenix,centaur-warrunner,phantom-lancer,alchemist,nyx-assassin,puck,chen,monkey-king,shadow-shaman,dazzle,leshrac,shadow-fiend,storm-spirit
KEEN GAMING,KEEN GAMING,Newbee,natures-prophet,keeper-of-the-light,mirana,death-prophet,centaur-warrunner,ancient-apparition,grimstroke,rubick,timbersaw,chen,monkey-king,phoenix,lina,shadow-fiend,tusk,vengeful-spirit,void-spirit,weaver,ember-spirit,batrider,templar-assassin,meepo
KEEN GAMING,Newbee,KEEN GAMING,timbersaw,natures-prophet,death-prophet,mirana,rubick,centaur-warrunner,keeper-of-the-light,ancient-apparition,dazzle,oracle,clockwerk,pangolier,legion-commander,phantom-lancer,gyrocopter,tiny,leshrac,morphling,undying,huskar,bane,queen-of-pain
Royal Never Give Up,Vici Gaming,Royal Never Give Up,ancient-apparition,death-prophet,pangolier,phoenix,dazzle,timbersaw,keeper-of-the-light,mars,mirana,dragon-knight,abaddon,ogre-magi,rubick,monkey-king,shadow-demon,omniknight,outworld-devourer,huskar,razor,centaur-warrunner,drow-ranger,lina
Royal Never Give Up,Vici Gaming,Royal Never Give Up,abaddon,death-prophet,keeper-of-the-light,phoenix,shadow-demon,timbersaw,dragon-knight,dazzle,mars,lich,pangolier,mirana,outworld-devourer,bounty-hunter,riki,lion,rubick,lifestealer,lina,templar-assassin,shadow-fiend,invoker
Royal Never Give Up,Sparking Arrow Gaming,Royal Never Give Up,mirana,death-prophet,shadow-demon,ancient-apparition,timbersaw,phoenix,mars,nyx-assassin,pangolier,keeper-of-the-light,ember-spirit,chen,centaur-warrunner,naga-siren,grimstroke,dazzle,tidehunter,kunkka,alchemist,outworld-devourer,phantom-lancer,storm-spirit
Royal Never Give Up,Royal Never Give Up,Sparking Arrow Gaming,timbersaw,keeper-of-the-light,death-prophet,mirana,dazzle,mars,phoenix,pangolier,ancient-apparition,clockwerk,grimstroke,dragon-knight,naga-siren,void-spirit,shadow-fiend,queen-of-pain,dark-seer,tusk,natures-prophet,ember-spirit,anti-mage,terrorblade
INVICTUS GAMING,EHOME,INVICTUS GAMING,timbersaw,natures-prophet,lich,death-prophet,bane,batrider,void-spirit,phoenix,shadow-demon,keeper-of-the-light,centaur-warrunner,ember-spirit,dragon-knight,mars,shadow-shaman,dazzle,morphling,dark-seer,lone-druid,puck,troll-warlord,lycan
INVICTUS GAMING,INVICTUS GAMING,EHOME,natures-prophet,timbersaw,beastmaster,death-prophet,dazzle,keeper-of-the-light,shadow-demon,void-spirit,phoenix,snapfire,tusk,mars,faceless-void,morphling,puck,dragon-knight,lycan,winter-wyvern,templar-assassin,outworld-devourer,troll-warlord,pugna
CDEC,KEEN GAMING,CDEC,centaur-warrunner,timbersaw,chen,ancient-apparition,morphling,batrider,razor,mars,death-prophet,shadow-demon,mirana,vengeful-spirit,terrorblade,templar-assassin,void-spirit,puck,beastmaster,naga-siren,legion-commander,phantom-lancer,abaddon,alchemist
KEEN GAMING,CDEC,KEEN GAMING,batrider,chen,death-prophet,centaur-warrunner,shadow-demon,razor,oracle,morphling,ancient-apparition,rubick,grimstroke,mars,timbersaw,faceless-void,pangolier,skywrath-mage,phantom-lancer,ember-spirit,terrorblade,outworld-devourer,dragon-knight,monkey-king
CDEC,CDEC,KEEN GAMING,batrider,chen,rubick,centaur-warrunner,phantom-lancer,razor,death-prophet,timbersaw,phoenix,pangolier,snapfire,grimstroke,naga-siren,faceless-void,disruptor,void-spirit,troll-warlord,axe,morphling,lifestealer,riki,lycan
Team Aster,Team Aster,INVICTUS GAMING,nyx-assassin,pangolier,death-prophet,batrider,mirana,phoenix,outworld-devourer,timbersaw,mars,centaur-warrunner,rubick,shadow-demon,monkey-king,phantom-lancer,undying,io,morphling,gyrocopter,kunkka,razor,dragon-knight,void-spirit
INVICTUS GAMING,Team Aster,INVICTUS GAMING,nyx-assassin,io,mirana,phoenix,timbersaw,batrider,ancient-apparition,death-prophet,mars,shadow-demon,dragon-knight,rubick,centaur-warrunner,slark,abaddon,jakiro,lina,naga-siren,pugna,queen-of-pain,razor,leshrac
Team Aster,Team Aster,INVICTUS GAMING,nyx-assassin,io,ancient-apparition,phoenix,shadow-demon,mars,batrider,death-prophet,timbersaw,lich,shadow-shaman,clockwerk,monkey-king,outworld-devourer,slark,snapfire,omniknight,faceless-void,shadow-fiend,kunkka,pugna,ember-spirit
Royal Never Give Up,PSG.LGD,Royal Never Give Up,pangolier,timbersaw,phoenix,mars,ancient-apparition,death-prophet,outworld-devourer,void-spirit,centaur-warrunner,dragon-knight,shadow-demon,jakiro,rubick,pugna,legion-commander,lich,skywrath-mage,spectre,razor,shadow-fiend,earth-spirit,lifestealer
Royal Never Give Up,Royal Never Give Up,PSG.LGD,death-prophet,shadow-demon,timbersaw,pangolier,void-spirit,ancient-apparition,dragon-knight,phoenix,mars,centaur-warrunner,rubick,undying,phantom-lancer,outworld-devourer,morphling,skywrath-mage,earth-spirit,faceless-void,templar-assassin,lone-druid,shadow-fiend,natures-prophet
KEEN GAMING,EHOME,KEEN GAMING,batrider,lycan,io,mirana,timbersaw,natures-prophet,centaur-warrunner,oracle,death-prophet,rubick,pangolier,bane,ancient-apparition,lone-druid,vengeful-spirit,dark-willow,phantom-lancer,underlord,alchemist,shadow-fiend,spectre,pugna
